State,FIPS Codes,County,number,percent
Alabama,01001,Autauga County,3368,10
Alabama,01003,Baldwin County,9509,8.1
Alabama,01005,Barbour County,2117,10.1
Alabama,01007,Bibb County,1406,8.9
Alabama,01009,Blount County,3367,8.3
Alabama,01011,Bullock County,941,11.5
Alabama,01013,Butler County,1691,11.3
Alabama,01015,Calhoun County,8188,9.8
Alabama,01017,Chambers County,3048,11.6
Alabama,01019,Cherokee County,1797,9.6
Alabama,01021,Chilton County,2598,8.6
Alabama,01023,Choctaw County,1272,11.5
Alabama,01025,Clarke County,2205,11.4
Alabama,01027,Clay County,992,9.3
Alabama,01029,Cleburne County,1028,9.5
Alabama,01031,Coffee County,3487,10.5
Alabama,01033,Colbert County,4303,10.5
Alabama,01035,Conecuh County,1149,11.7
Alabama,01037,Coosa County,929,10.9
Alabama,01039,Covington County,2831,10.2
Alabama,01041,Crenshaw County,1005,9.9
Alabama,01043,Cullman County,5510,9.4
Alabama,01045,Dale County,3695,10.6
Alabama,01047,Dallas County,4113,13.3
Alabama,01049,DeKalb County,4099,8.3
Alabama,01051,Elmore County,4218,8
Alabama,01053,Escambia County,2908,10.3
Alabama,01055,Etowah County,6929,9
Alabama,01057,Fayette County,1314,9.6
Alabama,01059,Franklin County,1948,8.6
Alabama,01061,Geneva County,1792,9.3
Alabama,01063,Greene County,886,13.1
Alabama,01065,Hale County,1472,11.4
Alabama,01067,Henry County,1302,10.5
Alabama,01069,Houston County,6173,9.2
Alabama,01071,Jackson County,3616,9
Alabama,01073,Jefferson County,43640,9.1
Alabama,01075,Lamar County,1014,8.9
Alabama,01077,Lauderdale County,5723,8.7
Alabama,01079,Lawrence County,2403,9.5
Alabama,01081,Lee County,6574,7.5
Alabama,01083,Limestone County,4182,8.2
Alabama,01085,Lowndes County,1123,12.4
Alabama,01087,Macon County,2182,13.4
Alabama,01089,Madison County,16200,7.6
Alabama,01091,Marengo County,1784,11.5
Alabama,01093,Marion County,2170,9.4
Alabama,01095,Marshall County,4902,7.9
Alabama,01097,Mobile County,25110,8.9
Alabama,01099,Monroe County,1784,10.7
Alabama,01101,Montgomery County,16730,10.6
Alabama,01103,Morgan County,7553,9.1
Alabama,01105,Perry County,955,12.5
Alabama,01107,Pickens County,1619,11.1
Alabama,01109,Pike County,2021,9.5
Alabama,01111,Randolph County,1585,9.6
Alabama,01113,Russell County,3881,11
Alabama,01115,St. Clair County,4708,9.1
Alabama,01117,Shelby County,8036,6.7
Alabama,01119,Sumter County,1235,12.6
Alabama,01121,Talladega County,5836,9.9
Alabama,01123,Tallapoosa County,2961,9.7
Alabama,01125,Tuscaloosa County,9965,8.1
Alabama,01127,Walker County,5216,10
Alabama,01129,Washington County,1250,9.9
Alabama,01131,Wilcox County,1029,11.8
Alabama,01133,Winston County,1615,8.7
Alaska,02013,Aleutians East Borough,96,4.2
Alaska,02016,Aleutians West,191,4.1
Alaska,02020,Anchorage Municipality,8515,4.6
Alaska,02050,Bethel Census Area,482,5
Alaska,02060,Bristol Bay Borough,44,5.6
Alaska,02068,Denali Borough,61,4.2
Alaska,02070,Dillingham Census Area,174,5.8
Alaska,02090,Fairbanks North Star,2595,4.5
Alaska,02100,Haines Borough,97,5.7
Alaska,02105,Hoonah-Angoon 2009 Census,No Data,No Data
Alaska,02110,Juneau City and Borough,999,4.5
Alaska,02122,Kenai Peninsula Borough,2009,5.6
Alaska,02130,Ketchikan Gateway Borough,555,5.9
Alaska,02150,Kodiak Island Borough,424,4.8
Alaska,02164,Lake and Peninsula Borough,53,5.3
Alaska,02170,Matanuska-Susitna Borough,2458,5
Alaska,02180,Nome Census Area,336,6
Alaska,02185,North Slope Borough,214,5.2
Alaska,02188,Northwest Arctic Borough,204,4.8
Alaska,02195,Petersburg 2009 Census,No Data,No Data
