County,All_2013,All_2014,All_2015,Private-goods-producing-2013,Private-goods-producing-2014,Private-goods-producing-2015,Private services-providing-2013,Private services-providing-2014,Private services-providing-2015,Gov-2013,Gov-2014,Gov-2015
Autauga,-4.4,-0.7,7.6,4.4,3.9,4.7,-7.2,-2.2,9.9,-4,-1.5,0.3
Baldwin,11.1,0.5,-4.3,-1,-1.2,2.1,14.7,0.9,-5.9,-0.7,-1.1,2.2
Barbour,7.5,-3.5,6.8,18.4,-5.8,9,2.5,-1.5,8,-4.8,-2.4,-1.9
Bibb,5.7,-2.8,-4.5,9.9,-11,-6.8,8.7,4.5,-5.9,-3.8,-2.8,0.9
Blount,8.1,-3.3,17.7,22.6,-12.1,0.1,4.3,2.9,35.1,-3.4,-3.4,-1
Bullock,-3,-8,-0.5,4.5,-15.6,3.2,-9.8,-4.2,-2.8,-2.4,-2.1,-2
Butler,-0.7,-4.4,4.7,-14,-10.1,3.4,9.3,-1.7,6.4,-2.7,-1.5,-0.4
Calhoun,-3.8,-3.5,-0.8,-6.4,-15.1,-4.2,0.2,0.1,0.4,-8.6,0.8,-0.3
Chambers,8.1,6.6,2,16.5,-0.6,14.3,6.2,4.7,-5.3,-2.7,31,-0.1
Cherokee,5.3,-6.8,-5.3,14.6,-14.2,-7.6,1.2,-3,-5.2,-1.6,-1.2,-1.1
Chilton,6.9,-3.5,0.2,12.1,-6,-1.6,6.3,-1.6,2.1,-3,-3,-1.2
Choctaw,-6.8,2.6,-6.1,-5.2,3,-4.2,-11.2,3.6,-11.8,-3.7,-6.1,-0.9
Clarke,1.1,0.3,0.9,0.3,-1,-0.8,3.9,2.9,3.8,-3,-2.2,-1.7
Clay,12.5,0,1.6,20.1,2.4,4.9,15.6,-3.2,-4.1,-6.3,-0.8,2.3
Cleburne,-0.7,2.7,11.4,17.5,0,3.1,-23.9,11.8,35.1,-3.6,-1.8,-1.5
Coffee,0.4,2.2,11.3,13.7,8.1,7.2,-3.9,0.2,16.3,-3.9,-1.3,0.6
Colbert,10.3,4.5,4.3,30.3,9.3,10.9,-2.5,0.4,0.5,-4.3,-0.4,-7.9
Conecuh,0.8,-3.8,-1.1,9.1,-5.6,-0.9,-2.7,-3,0.2,-3.5,-2.6,-4.8
Coosa,4.4,4.1,-2.3,-0.5,(D),(D),15.4,(D),(D),-2.7,-6,-2.8
Covington,4.5,-2.4,0.2,15.8,-4.7,-5.3,1.3,-1.1,2.7,-3.4,-3.2,0.8
Crenshaw,8,-10.1,1.7,18.3,-17.5,1.6,-4.5,1.6,2.1,-2.3,-3.1,1.1
Cullman,2.8,-2.1,-0.7,6.8,-9.2,-1.2,0.7,3.1,-0.7,-0.9,-1.1,0.8
Dale,2.3,-4.6,-0.5,5.8,-21.2,0,16.4,2.5,-1.2,-4.2,0.1,-0.3
Dallas,-1.1,-2,-4.4,-0.9,-4.4,-10,0,0.7,0,-4.6,-3,-2.2
DeKalb,13.7,-1.9,1.7,22.7,-11.8,-1.7,10.5,8.1,5,-3.1,-1.2,-0.1
Elmore,7.2,0.9,1.7,0.9,-5.1,3.5,13.1,1.9,1.3,-0.9,6.1,0.8
Escambia,-1.7,-2.2,-1.9,-4.1,-5.6,-4,-0.7,-1.1,-1.6,0.5,1.3,0.4
Etowah,-1,-2,0.3,-3.1,-7.4,-3.2,0.1,0.3,1.7,-2.9,-3.5,-0.8
Fayette,1.2,-1,0.5,8.4,-2.5,2.5,-1.4,2.2,-0.7,-2.5,-4,-0.1
Franklin,8.4,-9.6,-0.5,15.1,-16,3.6,5.3,-4.7,-6,-3.2,-0.8,0.8
Geneva,5.9,-2.9,4.5,34.6,-9.2,12.3,-5,2.6,1.6,-4,-5.1,0.2
Greene,-6.7,-2.7,-11.3,-1.5,(D),(D),-11.1,(D),(D),-3.1,2.3,-0.2
Hale,16.6,-8.2,3.7,39.5,-14.7,11.1,0.9,-0.9,-3.3,-2.5,-2,-1.5
Henry,11.9,2.5,-0.9,17.2,-8.6,6.1,13.5,12.3,-5,-3.5,-1.4,-1.6
Houston,1,-1.4,-1.8,-4.4,-15.5,-12.1,2.5,0.7,-0.4,-0.4,2,0.1
Jackson,3.3,-1.4,-7.2,15.6,-0.6,-5.2,-1.3,-1.9,-8.9,-8.1,-1.8,-7.4
Jefferson,-2.3,-2.5,0.6,-0.5,-9.6,-3.1,-2.8,-1.5,1.2,-1.5,0,1.1
Lamar,-3.8,-3.7,-4.1,3.2,-14.3,-0.6,-9.2,5.9,-7.6,-3.9,-3.7,-0.8
Lauderdale,3.3,-2.2,-2.2,11.2,-11.2,-7.5,2.1,0.8,-1.2,-2,-2.1,0.3
Lawrence,-6.8,-13.5,-18.8,-16,-17.9,-39.7,7.3,-11.4,0.4,-2,-3.3,-3.4
Lee,11.5,3.8,10.6,42.1,1.2,28.7,3.3,7.3,4.5,-0.5,0.2,0.6
Limestone,5.8,4.4,5.4,7.9,12.7,15.6,8.4,1.6,3.4,-2.3,3.9,0.1
Lowndes,7.3,-5.8,-6.6,12.2,-7.4,-9.2,-0.6,-1,-1.2,-4.2,-5.9,-1.8
Macon,0.2,-8.9,-2.9,0.5,-29.3,-13.8,-3.3,-9.8,-3,2,-2.7,-0.6
Madison,0.4,1.2,0.9,-3.6,-1,-4.6,2.1,2.1,2.6,-0.7,0.3,0.3
Marengo,2.3,1.9,-1.1,-2.5,3.8,-2.5,11.3,3.3,0.7,-5.3,-6.7,-2.2
Marion,6.4,-7.2,-0.3,13,-14.7,-0.5,3.4,-0.6,-0.5,-3.5,-3.5,0.6
Marshall,8,-4.8,1.4,21.5,-10.4,3.1,1.5,-1,0.1,-2.3,-1.3,1.1
Mobile,-2.2,-1.9,-0.2,-1,-1.6,-5.6,-2.3,-2,2.1,-3.9,-2.1,-0.8
Monroe,-11.7,6,18,-26.4,3.7,1.9,-0.9,10.4,32.1,-6.4,-3.6,1.5
Montgomery,0.3,0,2.3,21.2,-3.7,1.9,-2.5,1.1,3.6,-3,-0.5,-0.6
Morgan,2.2,0.6,0.3,12.9,3.6,-0.8,-4.6,-0.8,1.6,-3.8,-4.6,-0.9
Perry,-1.5,-4.1,-2.5,-8.3,(D),(D),7.3,(D),(D),-2.8,-6.2,0.2
Pickens,20,2.2,2.9,38.9,-9.1,9.7,-3.6,4.8,-1.7,38.8,17.7,0.4
