Locality,Dx Year,Sex,Race,All Sites**,Oral,Colorectal,Liver,Pancreas,Lung,Melanoma,Breast,Cervix,Ovary,Prostate,Kidney,Brain and CNS,Thyroid,Hodgkin Lymphoma,Non-Hodgkin Lymphoma,Myeloma,Leukemia
HD_Alexandria,2006,Male,Black,558.6,^,^,^,^,^,^,^,^,^,212.2,^,^,^,^,^,^,^
HD_Alexandria,2006,Male,White,422.8,^,^,^,^,57.9,^,^,^,^,130.9,^,^,^,^,^,^,^
HD_Alexandria,2006,Male,All,438.5,^,^,^,^,55.5,^,^,^,^,144.4,^,^,^,^,^,^,^
HD_Alexandria,2006,Female,Black,418.6,^,^,^,^,^,^,107,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2006,Female,White,325.5,^,^,^,^,53.9,^,92.1,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2006,Female,All,345.9,^,33.7,^,^,51.2,^,102.3,^,^,^,^,^,21.9,^,^,^,^
HD_Alexandria,2006,All,Black,475.6,^,^,^,^,^,^,62.1,^,^,82.5,^,^,^,^,^,^,^
HD_Alexandria,2006,All,White,366.8,^,25.2,^,^,54.8,^,50,^,^,59.6,^,^,^,^,^,^,^
HD_Alexandria,2006,All,All,383.3,^,30,^,^,52.9,^,56.3,^,^,63.5,^,^,13.6,^,^,^,^
HD_Alexandria,2007,Male,Black,515.4,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2007,Male,White,497.8,^,48,^,^,^,50.7,^,^,^,117.9,^,^,^,^,^,^,^
HD_Alexandria,2007,Male,All,519.2,^,46.2,^,^,52.7,38.2,^,^,^,141.8,^,^,^,^,31.7,^,^
HD_Alexandria,2007,Female,Black,549.1,^,^,^,^,^,^,143.5,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2007,Female,White,391.9,^,^,^,^,36.4,^,126.2,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2007,Female,All,430.6,^,32.9,^,^,54.8,^,136.9,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2007,All,Black,527.1,^,^,^,^,114.8,^,87.3,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2007,All,White,436.2,^,36.8,^,^,41,29.2,67.1,^,^,52.3,^,^,^,^,22.2,^,^
HD_Alexandria,2007,All,All,464.2,^,38.8,^,^,54.8,21.4,75.8,^,^,60.2,^,^,12.1,^,22.4,^,^
HD_Alexandria,2008,Male,Black,647.8,^,^,^,^,^,^,^,^,^,245.4,^,^,^,^,^,^,^
HD_Alexandria,2008,Male,White,398.5,^,^,^,^,^,^,^,^,^,100.5,^,^,^,^,^,^,^
HD_Alexandria,2008,Male,All,439.6,^,35.2,^,^,41.3,^,^,^,^,127.8,^,^,^,^,^,^,^
HD_Alexandria,2008,Female,Black,400.1,^,^,^,^,^,^,117.6,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2008,Female,White,419.1,^,^,^,^,55.2,^,160.1,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2008,Female,All,424.8,^,41.9,^,^,53,^,150.4,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2008,All,Black,496.9,^,^,^,^,^,^,66.4,^,^,99.7,^,^,^,^,^,^,^
HD_Alexandria,2008,All,White,400.5,^,32.9,^,^,45.7,25.3,88.1,^,^,44.1,^,^,^,^,^,^,^
HD_Alexandria,2008,All,All,423.4,13.3,37.6,^,^,47.9,19.9,83.2,^,^,55.4,17.7,^,^,^,14.2,^,^
HD_Alexandria,2009,Male,Black,381.4,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2009,Male,White,389.6,^,^,^,^,^,^,^,^,^,115.9,^,^,^,^,^,^,^
HD_Alexandria,2009,Male,All,399.2,^,27.8,^,^,41.8,^,^,^,^,119.7,^,^,^,^,^,^,^
HD_Alexandria,2009,Female,Black,383.1,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2009,Female,White,406,^,39.8,^,^,49.2,^,128.7,^,^,^,^,^,28.4,^,^,^,^
HD_Alexandria,2009,Female,All,389.8,^,36.9,^,^,45.8,^,120.8,^,^,^,^,^,24.1,^,^,^,^
HD_Alexandria,2009,All,Black,385.6,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2009,All,White,392.7,^,32.3,^,^,41.5,17.4,70.2,^,^,53,^,^,21,^,24.4,^,^
HD_Alexandria,2009,All,All,388.9,^,33.3,^,^,43.1,14.5,66.4,^,^,53.6,^,^,17.5,^,19.1,^,^
HD_Alexandria,2010,Male,Black,474.2,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2010,Male,White,430.9,^,48.7,^,^,^,^,^,^,^,132.7,^,^,^,^,^,^,^
HD_Alexandria,2010,Male,All,438.6,^,47,^,^,44.2,^,^,^,^,139.2,^,^,^,^,^,^,^
HD_Alexandria,2010,Female,Black,323.2,^,^,^,^,^,^,104.3,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2010,Female,White,418,^,^,^,^,58.6,^,165.7,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2010,Female,All,392,^,34.8,^,^,51.4,^,149.2,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2010,All,Black,379.3,^,^,^,^,^,^,57.6,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2010,All,White,417.6,^,39.4,^,^,47.4,^,89.3,^,^,60.3,^,^,15.2,^,19.9,^,^
HD_Alexandria,2010,All,All,407.1,^,40.4,^,^,47.3,^,81.6,^,^,61.7,^,^,12.8,^,20,^,^
HD_Alexandria,2011,Male,Black,423.8,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2011,Male,White,337.7,^,^,^,^,37,^,^,^,^,71.8,^,^,^,^,^,^,^
HD_Alexandria,2011,Male,All,360.9,^,^,^,^,34.1,^,^,^,^,98.1,^,^,^,^,^,^,^
HD_Alexandria,2011,Female,Black,402,^,^,^,^,^,^,102.9,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2011,Female,White,379.6,^,^,^,^,34.5,^,123,^,^,^,^,^,40.5,^,^,^,^
HD_Alexandria,2011,Female,All,372.5,^,35.8,^,^,33.7,^,113.9,^,^,^,^,^,33.1,^,^,^,^
HD_Alexandria,2011,All,Black,402.1,^,^,^,^,^,^,59.5,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2011,All,White,357.4,^,26.7,^,^,34.5,24.2,68.1,^,^,33.5,^,^,22.5,^,17.4,^,^
HD_Alexandria,2011,All,All,363.4,^,33,^,^,33.1,18.8,63.9,^,^,44.3,13.2,^,20.3,^,17,^,^
HD_Alexandria,2012,Male,Black,513,^,^,^,^,^,^,^,^,^,228.8,^,^,^,^,^,^,^
HD_Alexandria,2012,Male,White,279.5,^,^,^,^,46.6,^,^,^,^,44.7,^,^,^,^,^,^,^
HD_Alexandria,2012,Male,All,306.5,^,29.1,^,^,53.2,^,^,^,^,71.7,^,^,^,^,^,^,^
HD_Alexandria,2012,Female,Black,245.1,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2012,Female,White,325.3,^,31.2,^,^,^,^,118.9,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2012,Female,All,308.6,^,27.8,^,^,24.6,^,115.6,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2012,All,Black,334.9,^,^,^,^,^,^,^,^,^,82.9,^,^,^,^,^,^,^
HD_Alexandria,2012,All,White,301,^,28,^,^,32.2,^,67.3,^,^,20.4,^,^,^,^,^,^,^
HD_Alexandria,2012,All,All,302.9,^,28.5,^,^,36.2,^,66.2,^,^,31.2,^,^,12.5,^,^,^,^
HD_Alexandria,2013,Male,Black,337.6,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2013,Male,White,363,^,^,^,^,^,^,^,^,^,93.6,^,^,^,^,^,^,^
HD_Alexandria,2013,Male,All,376,^,^,^,^,25.7,^,^,^,^,93.6,^,^,^,^,^,^,^
HD_Alexandria,2013,Female,Black,370.6,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2013,Female,White,432.5,^,^,^,^,65.3,^,136.2,^,^,^,^,^,27,^,^,^,^
HD_Alexandria,2013,Female,All,412.8,^,21.6,^,^,67.4,^,122.8,^,^,^,^,^,27.9,^,^,^,^
HD_Alexandria,2013,All,Black,355.2,^,^,^,^,81.8,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2013,All,White,393.3,^,25.6,^,^,44.3,23.4,70.9,^,^,42,^,^,19.7,^,^,^,^
HD_Alexandria,2013,All,All,389,12.3,23,^,12.6,49.4,18.4,66.1,^,^,40.8,14.6,^,19,^,12.9,^,^
HD_Alexandria,2014,Male,Black,468.3,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2014,Male,White,411.2,^,44,^,^,46.8,^,^,^,^,106.3,^,^,^,^,^,^,^
HD_Alexandria,2014,Male,All,422.6,^,45.4,^,^,49.9,^,^,^,^,108.5,^,^,^,^,^,^,^
HD_Alexandria,2014,Female,Black,361.5,^,^,^,^,^,^,147.8,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2014,Female,White,322.3,^,^,^,^,^,^,133.1,^,^,^,^,^,30.8,^,^,^,^
HD_Alexandria,2014,Female,All,338.8,^,23.7,^,^,23.1,^,137.5,^,^,^,^,^,28.1,^,^,^,^
HD_Alexandria,2014,All,Black,390.3,^,^,^,^,^,^,80.7,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2014,All,White,355.5,^,31.6,^,^,30.3,16.9,70.8,^,^,47.3,^,^,18.4,^,^,^,^
HD_Alexandria,2014,All,All,367.7,12.5,32.4,^,^,34.6,13.1,73.7,^,^,47.6,14.9,^,17.8,^,14.5,^,^
HD_Alexandria,2015,Male,Black,369,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2015,Male,White,328.1,^,^,^,^,51.2,^,^,^,^,74.4,^,^,^,^,^,^,^
HD_Alexandria,2015,Male,All,334,^,25.9,^,^,45.8,^,^,^,^,82.3,^,^,^,^,^,^,^
HD_Alexandria,2015,Female,Black,363.1,^,^,^,^,^,^,96.5,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2015,Female,White,337.4,^,^,^,^,38.7,^,106.3,^,^,^,^,^,25.7,^,^,^,^
HD_Alexandria,2015,Female,All,346.2,^,23.5,^,^,34.1,^,103.4,^,^,^,^,^,31,^,^,^,^
HD_Alexandria,2015,All,Black,359.5,^,^,^,^,^,^,53.3,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2015,All,White,330.8,^,24.1,^,^,43.9,18.7,57.8,^,^,34.5,^,^,18.6,^,^,^,^
HD_Alexandria,2015,All,All,337.7,^,24.5,^,^,38.5,14.6,56.8,^,^,37.5,^,^,20.7,^,11,^,^
HD_Alexandria,2006-2015,Male,Black,463.7,15.9,38.3,17.5,^,70.7,^,^,^,^,153.1,18,^,^,^,15.6,^,^
HD_Alexandria,2006-2015,Male,White,383.1,17,32.5,7.4,9.1,40.5,24.6,^,^,^,97.4,14.6,5.5,7.4,^,20.2,^,11.1
HD_Alexandria,2006-2015,Male,All,400.8,17,33.5,10.1,9.9,44.1,19.5,^,^,^,111.1,15.1,5.8,7.2,^,19.7,4.4,11.3
HD_Alexandria,2006-2015,Female,Black,381.6,^,39.5,10.6,^,56.2,^,110.3,^,^,^,12.8,^,15.9,^,12.3,11.6,^
HD_Alexandria,2006-2015,Female,White,377,5.1,28.4,^,7.2,43.2,14.2,129.4,4.6,15.2,^,8.2,4.2,24.9,^,11.5,^,6.6
HD_Alexandria,2006-2015,Female,All,376.4,5.6,30.9,5.1,7.9,43.9,11,125.1,5.2,13.4,^,9.4,4.3,23.7,^,11.3,3.5,6.6
HD_Alexandria,2006-2015,All,Black,407.7,10.4,38.5,13.2,13.1,61.3,^,62.9,^,^,62.1,14.8,6.1,11.1,^,14.1,9.7,7.6
HD_Alexandria,2006-2015,All,White,374.7,10.3,30.1,5.3,8.1,41.5,18.8,70.2,2.4,8.3,44,11,4.8,16.4,2.2,15.4,2.1,8.3
HD_Alexandria,2006-2015,All,All,381.7,10.4,31.9,7.4,8.8,43.6,14.6,68.9,2.8,7.4,48.9,11.8,5.1,15.8,2,15,3.8,8.4
HD_Alexandria,2006-2010,Male,Black,511.2,^,40.2,^,^,75.7,^,^,^,^,176,^,^,^,^,^,^,^
HD_Alexandria,2006-2010,Male,White,427.7,17.8,35.7,^,10.9,41.4,28.3,^,^,^,120.1,15.2,6.1,6.1,^,24.8,^,12
HD_Alexandria,2006-2010,Male,All,446.2,17.4,36.4,10.6,12,46.7,21.6,^,^,^,134.6,16.3,6.5,6.2,^,22.2,^,11.8
HD_Alexandria,2006-2010,Female,Black,412.5,^,54.7,^,^,68.8,^,116.2,^,^,^,^,^,^,^,^,^,^
HD_Alexandria,2006-2010,Female,White,392.3,^,31.3,^,^,51.1,12.8,134,^,16,^,10.6,^,20,^,13.2,^,6.8
HD_Alexandria,2006-2010,Female,All,396.2,6.7,35.8,5.5,7.2,51.5,10.5,131.5,4.6,14.9,^,10.5,^,19.1,^,12.8,^,6.4
HD_Alexandria,2006-2010,All,Black,450,11.9,47.8,13.9,^,73.3,^,66.9,^,^,71.6,15.6,^,11,^,^,14.2,^
HD_Alexandria,2006-2010,All,White,402.8,10.5,33.2,5.3,8,46.2,19.7,72.7,^,8.8,54.1,12.3,5.3,13.4,^,18.4,^,8.7
HD_Alexandria,2006-2010,All,All,412.9,11,36,7.7,9.4,49.2,15.3,72.5,2.5,8.5,58.9,12.8,5.2,13,2.4,17,4.2,8.6
HD_Alexandria,2011-2015,Male,Black,422,^,35.4,^,^,65.9,^,^,^,^,134.4,^,^,^,^,^,^,^
HD_Alexandria,2011-2015,Male,White,343.7,16.2,29.3,6.7,7.5,40.1,21.8,^,^,^,78.7,14.2,^,8.7,^,15.7,^,10.1
HD_Alexandria,2011-2015,Male,All,360.2,16.5,30.9,9.3,7.9,42,18,^,^,^,91.3,14.1,5.2,8.1,^,17.1,^,10.9
HD_Alexandria,2011-2015,Female,Black,350.3,^,26.7,^,^,43.4,^,104.3,^,^,^,^,^,16.3,^,^,^,^
HD_Alexandria,2011-2015,Female,White,358.3,^,25.5,^,8.5,35.4,15.4,123.6,^,14.1,^,6.1,^,29.1,^,9.7,^,6.3
HD_Alexandria,2011-2015,Female,All,355.1,4.6,26.2,4.7,8.4,36.4,11.3,118.7,5.8,11.7,^,8.5,4.8,27.5,^,9.7,^,6.6
HD_Alexandria,2011-2015,All,Black,369,^,31,12.4,^,50.1,^,59.4,^,^,53.5,13.9,^,11.2,^,15.3,^,^
HD_Alexandria,2011-2015,All,White,346.8,9.8,27.1,5,8.1,37.1,18.2,67,^,7.5,35.7,9.9,4.5,19,^,12.4,^,7.8
HD_Alexandria,2011-2015,All,All,351.7,9.7,28.1,6.9,8.2,38.3,14.2,65.3,3.1,6.4,40.4,11,5,18.1,^,13,3.4,8.3
HD_Alleghany,2006,Male,Black,594.6,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2006,Male,White,511.7,^,46.1,^,^,84.7,24.2,^,^,^,151.4,18.9,^,^,^,26.6,^,^
HD_Alleghany,2006,Male,All,515.2,^,49.2,^,^,81.6,22.9,^,^,^,153.5,19.5,^,^,^,31,^,^
HD_Alleghany,2006,Female,Black,361.5,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2006,Female,White,387,^,38.9,^,^,52,17,121.9,^,^,^,^,^,^,^,14.6,^,^
HD_Alleghany,2006,Female,All,385.5,^,38.4,^,^,52,15.9,121.2,^,^,^,^,^,^,^,14.5,^,^
HD_Alleghany,2006,All,Black,458.3,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2006,All,White,439.6,^,42.4,^,7.3,66.9,20.4,66.3,^,^,68,13.7,^,11.1,^,19.3,^,14.3
HD_Alleghany,2006,All,All,440.5,^,43.4,^,9.8,65.4,19.2,65.9,^,^,68.9,13.7,^,10.4,^,21.4,^,13.4
HD_Alleghany,2007,Male,Black,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2007,Male,White,518.2,16.8,55.1,^,^,80.3,29.9,^,^,^,150.9,16.2,^,^,^,17.8,^,^
HD_Alleghany,2007,Male,All,511.2,18.6,54,^,^,81.4,28.1,^,^,^,150.6,15.4,^,^,^,18.8,^,^
HD_Alleghany,2007,Female,Black,365.9,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
